client,rating
5-65982,94.5
6-02194,97.0
7-18198,59.5
7-51986,38.0
1-96203,-76.5
4-95835,70.0
4-50387,70.0
9-42771,58.0
7-31380,70.0
5-38052,-14.5
9-98149,58.0
2-39648,-88.0
3-62127,96.5
1-64599,97.5
1-91028,58.0
1-53520,100.0
3-06230,98.0
2-96599,-15.0
1-39215,66.0
4-43118,62.0
3-28103,58.0
4-33337,70.0
6-09419,-6.0
3-12894,94.5
2-83063,59.0
5-66227,59.0
8-89973,95.5
4-51902,70.0
7-47984,25.5
4-89368,-52.5
8-93384,43.0
4-76061,81.5
6-56804,-28.0
7-44175,58.0
9-69167,-7.0
2-86364,37.0
2-58107,63.0
4-48377,-125.0
5-41771,62.0
2-34974,69.0
5-96559,66.0
3-62973,65.0
2-07875,97.5
9-18494,83.0
4-93583,69.0
4-96590,94.5
1-37462,-22.0
7-42693,37.0
3-66997,96.5
5-03270,94.5
8-89043,-8.0
6-36360,-62.0
6-32335,-20.5
9-74407,-21.0
5-63374,11.0
5-88275,38.0
9-65480,17.5
1-07880,58.0
1-66405,98.0
2-78682,49.0
7-92316,75.0
8-54670,17.5
4-63375,69.0
6-96874,70.0
8-36940,69.0
5-28938,65.5
8-62779,24.5
9-74389,15.0
5-87175,69.0
5-01726,15.0
1-54040,100.0
8-46395,59.5
6-41068,-126.5
6-98130,75.0
2-36583,100.0
2-51827,99.0
8-49898,10.0
3-41762,69.0
5-79471,74.0
3-55059,84.0
4-71438,74.0
6-46495,15.0
7-52828,18.5
9-05503,84.0
7-14972,15.5
6-41904,62.0
3-20016,5.5
3-18631,65.5
3-16800,-35.5
5-53218,43.0
7-95275,-6.5
2-89705,75.0
8-89680,25.5
4-06847,69.5
7-57429,99.0
3-63469,24.5
3-32794,97.0
6-56076,99.0
9-68803,100.0
1-43563,28.0
4-62296,98.0
6-11874,75.0
6-13793,-10.5
6-41528,24.0
6-43721,100.0
1-37430,98.0
7-65174,98.0
9-66096,74.0
6-06836,99.0
4-05122,-19.0
7-03013,71.0
1-56750,99.0
4-59133,99.0
2-42648,4.0
2-70939,74.0
7-40907,70.0
4-42584,-69.5
5-78674,-72.0
8-85386,84.0
8-72263,-39.0
6-22583,-9.0
9-87885,75.0
1-26770,23.5
1-95566,5.5
6-66621,-74.5
4-66722,17.5
3-61482,30.0
3-62518,-19.0
7-36320,97.0
9-11190,-25.5
1-74271,74.0
7-27680,70.0
2-35505,100.0
1-63139,74.0
3-84646,-31.5
2-68553,71.0
7-35262,97.0
9-95203,74.0
7-40805,65.5
4-79503,98.0
6-24164,71.0
2-32197,-45.0
7-30675,8.0
9-88731,17.5
7-98808,83.0
3-65461,75.0
9-41862,97.5
5-00871,94.5
3-91699,15.0
5-16819,66.5
2-27942,10.0
7-43396,-60.0
9-08979,97.0
4-98738,66.5
4-03541,-74.5
6-55877,75.0
4-04055,-2.0
1-84843,74.0
8-64200,36.5
3-13576,-71.5
3-56406,-66.5
3-56805,60.5
1-19617,83.0
2-34302,74.0
1-50304,35.5
5-69806,70.0
8-98023,-60.0
8-01823,8.0
5-32762,25.0
6-62845,-37.0
8-75802,65.5
1-07199,-11.0
3-32458,43.0
3-85421,71.0
5-45991,-92.0
3-60533,-46.5
6-97899,-11.5
2-80163,2.5
4-98878,70.0
4-09314,-25.5
7-29268,71.0
4-42139,-51.0
8-86491,65.5
5-32684,75.0
1-59173,84.0
7-95356,83.0
3-91225,75.0
1-92829,70.0
2-81729,17.5
3-67819,34.0
7-81754,100.0
9-01428,31.5
4-84141,-31.0
8-36938,18.5
1-91693,37.0
4-44612,70.5
6-40466,75.0
6-18214,-7.5
8-13684,96.5
7-55389,74.0
9-95355,-21.0
4-20198,53.0
9-74495,42.0
6-29299,25.5
7-95413,-4.5
9-30975,84.0
7-06091,96.5
2-82940,66.5
2-97002,14.0
3-45246,62.0
7-98288,25.0
1-36673,7.5
6-79925,69.0
7-24009,13.0
7-51159,62.0
2-80852,-36.0
2-28230,59.0
2-89646,-7.0
6-37898,4.5
2-36225,56.0
5-47755,69.0
4-36935,52.0
7-38261,95.5
6-18191,-62.0
5-35803,-42.0
8-24582,70.0
1-98959,66.0
7-69327,59.0
4-06699,53.0
7-30864,97.5
6-60835,69.0
9-61086,20.0
4-54252,95.5
5-36727,-29.0
5-35959,4.5
7-93192,-3.5
4-06820,55.0
5-23229,66.0
7-68304,53.0
3-84091,96.5
5-86714,70.0
3-03289,3.0
1-48533,100.0
1-56991,65.5
3-64854,84.0
8-72580,3.5
3-75360,69.0
5-51451,75.0
7-08191,70.0
4-90918,65.5
3-57354,11.0
3-94661,59.0
9-38809,-69.5
9-19448,12.5
7-26537,97.0
6-88065,65.0
3-62990,59.5
2-23007,-1.0
1-13556,0.0
4-91089,43.0
2-86126,97.0
1-24607,58.0
4-30970,50.0
3-33517,-6.5
8-40975,-28.0
3-21529,70.0
3-23276,7.5
6-10338,69.0
3-79676,74.0
4-93556,-31.0
4-51660,75.0
3-45662,59.0
6-00596,-7.5
4-96137,43.0
7-08289,69.0
6-27436,59.5
2-91923,100.0
4-88195,-54.5
6-36020,-14.0
5-77632,59.5
1-31086,58.0
3-10144,81.5
4-15178,65.5
2-95504,96.5
9-65220,20.5
4-02198,65.5
3-45786,66.5
9-16222,43.0
3-42724,21.5
8-57118,18.5
7-27330,97.0
6-76643,64.5
1-69880,70.0
1-31691,83.0
2-91971,66.5
4-48246,-11.5
6-29136,74.0
1-09145,99.0
1-43339,2.5
4-09289,57.5
2-99833,100.0
6-38064,-13.5
9-91806,99.0
7-93643,-22.0
2-41512,70.0
7-57056,65.0
2-93406,65.5
1-57185,-40.5
1-81905,-29.5
6-95919,-11.5
8-23358,99.0
8-99680,98.0
9-59596,100.0
4-14263,-20.5
5-26339,75.0
8-30365,-30.5
2-87455,17.5
5-13815,99.0
7-05168,97.0
4-72007,60.5
3-25598,-57.5
3-22858,-15.0
8-07270,70.0
7-78792,70.0
7-04908,98.0
3-51318,100.0
4-08141,99.0
1-92465,42.0
3-59220,-6.5
2-49677,100.0
6-38069,19.5
3-55500,63.5
2-67491,74.0
5-69002,100.0
3-47202,43.0
6-97939,97.5
1-04295,29.0
1-79914,21.5
6-85368,26.5
7-22217,99.0
7-59952,-1.0
2-57021,17.5
5-50100,17.5
2-05672,71.0
4-95770,66.5
4-10253,99.0
3-82889,-57.5
9-06208,74.0
2-46426,39.5
3-99936,20.0
3-46891,33.5
1-57638,66.5
9-03617,26.5
9-68990,22.5
3-29314,-17.0
2-77000,8.0
5-70973,54.0
2-73458,59.5
5-96692,70.5
5-39358,0.0
1-08134,-7.5
7-33964,71.0
7-94521,99.0
2-09923,66.5
5-06145,43.0
9-10376,60.5
9-35222,99.0
5-36762,69.0
4-99627,37.0
3-51783,96.5
9-33664,66.5
1-97781,71.0
8-20192,70.0
1-74850,66.5
9-11687,75.0
8-70239,-28.5
5-63568,83.0
5-90938,65.5
9-98653,75.0
6-30541,83.0
5-21228,74.0
6-94989,75.0
9-40101,66.5
7-72617,16.5
6-73688,57.5
9-88583,42.0
8-78708,65.0
3-32883,-39.5
3-16353,75.0
2-01662,65.5
2-52411,97.0
8-07897,84.0
7-82546,99.0
5-23657,37.0
2-86807,59.5
1-47554,69.5
2-40126,39.0
4-10329,-37.5
4-80308,70.0
1-90118,30.5
5-11709,80.5
6-05058,-11.0
2-56161,42.0
5-65964,66.0
9-66800,17.5
6-98748,75.0
2-53413,-19.0
8-43774,-55.5
6-24705,-31.0
5-62131,70.0
7-70297,54.0
9-83227,66.5
9-11245,70.0
1-13074,99.0
4-95436,38.0
2-96734,66.0
2-38857,4.0
9-66872,2.5
6-32484,42.0
1-72321,0.0
3-05894,43.0
6-76425,74.0
5-07550,55.0
4-73854,-18.5
5-48474,97.5
8-79068,74.0
4-20361,65.0
8-94196,-4.5
7-95873,94.5
6-80863,74.0
2-06489,17.5
8-66948,98.0
4-21622,-41.5
3-46204,52.0
2-93295,19.5
9-31277,45.0
1-15519,97.5
8-41167,36.5
6-19434,59.0
1-24025,59.0
4-28021,96.5
3-71629,74.0
4-73152,-75.0
4-57328,58.0
2-09695,98.0
9-81916,95.5
2-18989,52.0
8-67833,58.0
9-24229,70.0
2-33770,-57.5
5-76410,-46.0
7-94583,80.5
9-32493,-38.5
7-01030,30.0
5-41636,58.0
7-45975,-89.5
5-13518,96.5
9-61504,66.0
1-06623,11.0
9-15181,59.0
7-35650,37.0
5-40755,-31.5
2-08081,-67.5
3-64790,-90.0
1-82624,59.0
3-62504,24.0
2-38079,52.0
8-32757,37.0
5-08517,70.0
8-89598,-39.5
9-79346,7.5
2-19907,38.0
1-45263,37.0
3-57952,70.0
3-36176,6.5
7-15121,70.0
5-79711,-52.5
7-57569,97.5
8-34449,95.5
8-41875,95.5
2-51862,59.0
9-97880,-21.5
6-24030,69.0
5-81276,-50.0
4-05885,15.5
1-70645,57.5
2-36603,15.0
4-37727,17.5
3-78275,63.5
2-20882,59.5
7-16113,43.0
7-38557,75.0
8-13707,74.0
7-11937,98.0
5-56436,42.0
4-25771,75.0
6-34524,59.5
1-57046,15.5
2-82135,17.5
7-19902,60.5
8-73482,-3.0
4-87170,28.0
4-84440,-79.0
1-12615,60.5
7-66837,5.5
7-84695,98.0
8-79556,-52.5
9-11600,65.5
3-77124,-23.0
2-04842,21.5
7-20649,-17.0
3-71074,99.0
6-57109,49.0
7-83511,-11.5
8-44604,-87.5
1-54953,70.0
4-53978,70.5
9-16557,66.5
9-38640,99.0
1-34354,65.5
4-86997,3.5
3-08506,100.0
4-04375,42.0
5-07244,70.0
7-60041,17.5
8-35505,38.0
9-66864,59.5
9-36269,83.0
4-88597,17.5
2-80841,22.5
8-80612,84.0
2-65144,56.5
6-69283,17.5
8-81671,74.0
7-17619,-31.5
7-96114,100.0
2-14553,17.5
4-50185,62.0
2-65621,99.0
3-75317,100.0
8-63003,74.0
7-37808,43.0
1-86468,65.5
9-29920,84.0
8-79826,99.0
1-68275,-31.5
2-71322,60.0
4-53014,43.0
3-78517,-73.5
3-70894,99.0
4-60948,71.0
2-84017,42.0
1-28854,59.5
7-96547,-14.0
6-05494,97.0
5-92444,34.0
3-96555,84.0
6-69549,84.0
5-23319,84.0
9-52825,99.0
9-21407,75.0
5-37266,70.0
4-27165,66.5
9-37325,15.0
8-37948,100.0
1-74308,17.5
5-64985,70.0
7-79734,84.0
4-02870,63.5
3-22568,17.0
1-10214,57.5
4-50630,65.5
5-37496,70.5
9-81591,71.0
8-33812,65.5
7-60422,56.5
2-73967,100.0
7-21196,74.0
8-91008,17.5
1-30866,65.5
5-03844,100.0
8-48078,100.0
9-65850,-3.0
1-79390,3.0
1-45276,18.5
5-84132,69.5
5-84532,-17.5
8-97702,-42.5
3-30839,18.5
3-07344,35.0
8-32670,-66.0
4-54893,32.0
2-02170,66.5
1-26420,99.0
2-59609,59.5
6-52875,-23.0
4-18238,70.0
2-24831,-19.0
1-16042,97.0
9-64327,-14.0
2-28870,-61.5
7-22912,22.5
5-43999,75.0
8-65307,12.5
3-41513,-54.0
6-55384,75.0
7-37954,70.0
3-53915,32.5
7-58994,7.5
8-93756,2.0
7-18729,65.5
9-66960,99.0
5-10012,-1.5
6-76447,74.0
6-46418,59.0
3-02702,96.5
6-87636,97.5
2-08788,59.5
5-63824,98.0
6-96610,80.5
7-19497,75.0
3-63069,-22.0
8-00659,70.0
4-62132,75.0
8-94077,-50.0
5-98021,-11.5
3-40469,100.0
2-41568,26.0
3-52532,37.0
6-33412,70.0
2-76195,75.0
9-28690,38.0
6-16045,-3.5
2-14262,-28.0
4-16969,58.0
4-24457,42.0
6-02935,97.5
7-28981,32.0
4-51646,99.0
3-29127,70.0
7-03929,14.0
8-95621,66.5
6-83413,100.0
6-80165,97.5
8-31164,55.0
6-91139,70.0
6-43268,58.0
1-21298,70.0
3-17121,69.0
5-50881,-54.0
3-78907,69.0
6-75619,28.5
5-17287,70.0
3-66423,99.0
7-10520,94.5
9-06115,81.5
3-27525,75.0
3-56558,53.0
6-08301,11.0
1-27113,-14.5
7-80483,97.0
1-98108,-39.5
8-85410,12.0
3-17794,95.5
1-91606,65.5
4-17861,38.0
5-39543,37.0
6-84468,14.0
8-26495,11.0
4-46766,66.0
4-91462,-26.0
1-08501,95.5
2-03901,59.0
6-00177,-1.0
8-00623,94.5
2-52205,66.0
3-71930,65.0
6-86799,66.0
8-01204,69.0
7-00293,97.5
9-74312,63.0
4-91864,42.0
2-51446,70.0
7-56115,-97.0
1-90163,69.0
8-51972,96.5
4-97984,-132.5
7-15588,2.0
4-25405,66.0
7-96371,58.0
6-75996,95.5
7-57182,80.5
7-95128,97.5
3-41281,70.0
5-07672,12.0
2-27361,69.0
9-74957,11.0
9-56248,-17.5
1-00000,95.5
9-30773,66.5
5-20073,56.0
3-69466,70.0
8-12392,98.0
2-76435,-53.5
5-71255,65.5
1-10079,-21.0
4-15469,70.0
6-85325,75.0
3-40283,12.0
1-82411,65.5
7-67322,20.5
1-54820,63.0
9-72536,-52.5
3-87697,42.0
3-61599,-103.5
1-20558,97.5
6-19034,99.0
9-76787,74.0
5-34057,70.0
3-20793,98.0
6-22787,60.5
7-66325,30.5
6-59771,100.0
6-99816,18.5
5-01515,100.0
7-16455,65.5
2-93659,98.0
8-82659,48.0
5-91955,42.0
1-35182,18.5
6-16100,97.0
5-46814,-18.5
5-36277,75.0
1-84185,42.0
9-26468,-78.5
9-03701,7.5
4-52110,74.0
4-88890,19.5
2-57040,66.5
5-72981,62.5
6-71959,-51.5
2-97620,100.0
4-81009,74.0
2-53284,18.5
1-83403,66.5
5-78293,71.0
6-49948,-14.0
7-72800,69.5
9-29887,18.5
4-23678,-21.5
4-86806,99.0
1-92520,99.0
9-30594,66.5
2-27696,15.0
9-14573,-58.0
7-89615,65.5
7-61398,83.0
7-31770,83.0
9-14338,66.5
8-49027,17.5
7-71382,70.0
2-99860,100.0
2-13308,-75.5
5-96524,100.0
6-80182,66.5
2-15161,-16.0
8-90142,74.0
7-62868,17.5
3-63296,74.0
1-11967,-21.0
6-69898,99.0
1-73810,-43.0
5-32453,-1.0
2-97448,65.5
7-86928,18.5
5-63726,16.5
8-13582,21.5
6-49313,7.0
8-74408,43.0
4-05021,33.0
6-23745,14.0
6-39476,65.5
7-01616,100.0
2-40584,97.0
2-48387,100.0
3-85688,99.0
5-50385,66.5
3-76046,-49.0
2-70147,-24.0
2-91947,97.0
1-40529,70.0
4-72046,83.0
1-44369,-10.0
6-26908,84.0
4-05220,-85.5
6-31585,18.5
7-65139,71.0
3-23457,84.0
2-89725,65.5
2-44249,74.0
6-77979,42.0
5-07805,75.0
6-87783,43.0
5-82936,-10.0
4-09472,70.0
4-04549,59.5
6-84978,59.0
2-50775,74.0
1-49841,99.0
4-04313,63.5
8-25880,66.5
4-63959,-66.5
1-62424,70.0
9-76761,-34.5
7-52289,-38.0
3-27726,63.5
4-93116,3.0
8-05946,14.0
6-00759,-24.0
5-04364,17.5
5-26513,100.0
8-51947,100.0
5-13699,100.0
6-94008,-1.5
4-45533,97.0
3-57185,84.0
6-93781,17.5
6-66725,-2.0
1-97045,71.0
4-66010,15.0
4-22693,-15.0
7-69945,84.0
6-68552,-45.5
7-87198,100.0
8-50936,31.5
2-74844,11.5
6-49975,99.0
9-52359,17.5
3-34234,100.0
1-32010,62.0
3-11216,84.0
2-70310,2.0
5-43023,12.0
5-87635,70.0
6-79441,60.5
2-51630,100.0
1-43672,60.5
8-09029,100.0
7-93806,60.0
4-18257,28.0
1-46019,75.0
6-11781,70.0
9-45109,-33.0
2-93480,17.5
4-27430,-24.5
2-11266,99.0
9-19139,42.0
7-27653,35.5
5-56258,71.0
8-75828,31.0
5-22726,42.0
2-42879,99.0
5-17082,59.0
9-60818,97.0
7-02033,-32.0
7-39406,-75.5
1-51621,37.0
1-54523,100.0
5-43544,-53.0
2-06739,80.5
8-03709,39.5
5-59432,-38.5
6-63480,70.0
3-39316,70.5
8-75009,-76.0
4-80639,25.0
2-74528,11.0
1-83667,100.0
4-54918,-75.5
7-82969,30.5
9-37454,-8.5
2-80368,65.5
8-69153,-66.0
6-03954,57.0
3-43803,-23.0
5-99602,80.5
2-38221,81.5
3-12120,62.0
2-74794,38.0
3-62945,52.0
9-76717,14.0
8-71163,-36.0
1-60632,94.5
5-29060,-75.5
1-79086,58.0
4-46402,10.0
4-84465,11.0
7-45935,94.5
2-90255,98.0
3-48003,42.0
9-54062,70.0
1-43934,65.5
2-97178,5.0
1-59824,14.5
5-87822,-33.0
4-29433,60.0
2-94005,69.5
1-29946,23.0
3-68944,-39.5
5-15533,75.0
6-10274,65.5
5-73656,3.0
5-74164,58.0
3-88658,-15.0
1-82393,75.0
6-89606,-36.5
1-59460,97.0
2-76477,80.5
9-00484,0.0
7-90388,58.0
2-99194,-37.5
2-97530,-57.5
7-56377,10.0
8-18495,1.5
5-69737,59.5
2-04216,-21.5
8-27346,98.0
7-05978,-82.0
9-71261,95.5
4-14609,-61.5
4-14884,-1.0
3-30001,100.0
6-82456,75.0
4-67403,62.0
6-08470,-0.5
2-81018,8.0
8-59939,-32.5
2-68215,81.5
4-62902,19.0
4-13116,75.0
3-09092,42.0
4-27609,69.5
7-10086,18.5
3-80198,-73.0
2-36326,75.0
9-30556,98.0
8-11602,23.0
9-81647,-23.0
2-49729,17.5
1-78393,69.5
2-57010,22.5
6-27843,43.0
3-36635,99.0
6-53781,59.5
4-66024,99.0
8-51571,100.0
3-55688,39.5
8-13223,65.5
6-05407,10.0
5-95934,43.0
8-35234,-63.0
6-50877,97.0
1-68203,0.0
6-12038,-42.0
6-47816,71.0
4-99255,38.0
3-32190,60.5
2-72980,71.0
3-75979,8.0
6-47320,84.0
4-84160,59.5
9-26292,59.5
5-68188,74.0
6-39886,84.0
6-06800,99.0
5-75612,70.5
5-63031,65.5
3-80736,43.0
8-24362,74.0
1-80916,99.0
2-27023,63.5
2-42830,65.5
8-98552,75.0
4-42318,-35.5
1-81164,0.0
9-50764,0.5
8-20036,69.5
2-09877,65.5
9-02129,83.0
2-79113,70.0
4-90079,99.0
5-13087,100.0
5-96594,45.0
9-93813,43.0
3-16555,18.5
6-09483,99.0
7-24537,43.0
1-52990,2.5
9-44341,99.0
2-78222,83.0
2-70885,11.0
3-90021,100.0
